course_id,title,description,provider,duration_minutes,language,license,learning_mode,course_url,destination_verified,verification_basis,live_access_verified,last_verified_at,tier,status,source_id,provenance,source_type,created_at,updated_at
CRS-101,[DEMO BLUEPRINT] Sampling design and weighting lab,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-102,[DEMO BLUEPRINT] Statistical anomaly investigation workshop,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-104,[DEMO BLUEPRINT] Respondent communication clinic,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-108,[DEMO BLUEPRINT] Statistical analysis quality lab,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-109,[DEMO BLUEPRINT] Price quotation and index compilation lab,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-112,[DEMO BLUEPRINT] Statistical disclosure-control lab,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-113,[DEMO BLUEPRINT] Statistical metadata release lab,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-114,[DEMO BLUEPRINT] Statistical team supervision clinic,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,180,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-115,[DEMO BLUEPRINT] Cross-team statistical handoff clinic,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,120,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-116,[DEMO BLUEPRINT] Statistical capability strategy clinic,"Fictional training design only. No hosted course, enrollment or certificate exists.",Fictional Statistical Learning Studio,180,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-011,Labour Force Statistics & Price Statistics (1w),,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-012,Agriculture & Allied Statistics (1w),,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-013,Theory & Practices in Official Statistics for Monitoring SDGs,,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-014,Data Analysis its Interpretation and visualization using R,,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-015,Foundation Course on Machine Learning using Python,,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-016,National Accounts Statistics,,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-017,"Application of GIS, Forest Statistics & Data tools",,,,,,,,0,HISTORICAL_TENTATIVE_CALENDAR_TOPIC_ONLY,0,,1,DESTINATION_UNRESOLVED,SRC-NSSTA-CAL25,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-117,[DEMO BLUEPRINT] SQL statistical query and reconciliation lab,Original training design using fictional data; not an existing course or published provider syllabus.,Fictional Statistical Learning Studio,180,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-118,[DEMO BLUEPRINT] Cloud and API statistical service lab,Original training design using fictional data; not an existing course or published provider syllabus.,Fictional Statistical Learning Studio,180,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
CRS-119,[DEMO BLUEPRINT] Quality framework and metadata standards lab,Original training design using fictional data; not an existing course or published provider syllabus.,Fictional Statistical Learning Studio,180,English,,PLANNED_WORKSHOP,,0,SYNTHETIC_NO_DESTINATION,0,,2,BLUEPRINT_ONLY,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
