training_record_id,user_id,course_id,status,started_at,completed_at,progress_percent,score,completion_verified,source_id,provenance,source_type,created_at,updated_at
TRN-028,USR-013,CRS-002,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-029,USR-013,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-030,USR-014,CRS-013,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-031,USR-014,CRS-002,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-032,USR-014,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-033,USR-015,CRS-015,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-034,USR-015,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-035,USR-015,CRS-004,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-036,USR-016,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-037,USR-016,CRS-015,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-038,USR-016,CRS-003,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-039,USR-017,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-040,USR-017,CRS-002,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-041,USR-017,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-042,USR-018,CRS-006,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-043,USR-018,CRS-007,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-044,USR-018,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-045,USR-019,CRS-004,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-046,USR-019,CRS-002,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-047,USR-019,CRS-005,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-048,USR-020,CRS-004,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-049,USR-020,CRS-005,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-050,USR-020,CRS-002,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
