gap_id,user_id,scope,position_id,competency_id,required_level,current_level,signed_gap,unmet_gap,gap_status,priority,recommendation_status,contributing_role_ids,contributing_activity_ids,provenance,source_type,source_id,created_at,updated_at
GAP-USR-001-TARGET-COMP-005,USR-001,TARGET,POS-002,COMP-005,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-001"", ""ROLE-007""]","[""ACT-002"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-006,USR-001,TARGET,POS-002,COMP-006,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-007,USR-001,TARGET,POS-002,COMP-007,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-016,USR-001,TARGET,POS-002,COMP-016,3,2,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-007""]","[""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-017,USR-001,TARGET,POS-002,COMP-017,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-007""]","[""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-SAMPLING,USR-001,TARGET,POS-002,COMP-SAMPLING,4,2,2,2,HIGH,HIGH,NO_VERIFIED_COURSE,"[""ROLE-001"", ""ROLE-007""]","[""ACT-001"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-CURRENT-COMP-003,USR-002,CURRENT,POS-003,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-CURRENT-COMP-008,USR-002,CURRENT,POS-003,COMP-008,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-CURRENT-COMP-009,USR-002,CURRENT,POS-003,COMP-009,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-TARGET-COMP-003,USR-002,TARGET,POS-004,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-TARGET-COMP-008,USR-002,TARGET,POS-004,COMP-008,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-002-TARGET-COMP-009,USR-002,TARGET,POS-004,COMP-009,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-002""]","[""ACT-004""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-CURRENT-COMP-003,USR-003,CURRENT,POS-005,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-005""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-CURRENT-COMP-009,USR-003,CURRENT,POS-005,COMP-009,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-005"", ""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-CURRENT-COMP-010,USR-003,CURRENT,POS-005,COMP-010,4,2,2,2,HIGH,HIGH,NO_VERIFIED_COURSE,"[""ROLE-003""]","[""ACT-005"", ""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-CURRENT-COMP-011,USR-003,CURRENT,POS-005,COMP-011,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-TARGET-COMP-003,USR-003,TARGET,POS-006,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-005""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-TARGET-COMP-009,USR-003,TARGET,POS-006,COMP-009,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-005"", ""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-TARGET-COMP-010,USR-003,TARGET,POS-006,COMP-010,4,2,2,2,HIGH,HIGH,NO_VERIFIED_COURSE,"[""ROLE-003""]","[""ACT-005"", ""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-003-TARGET-COMP-011,USR-003,TARGET,POS-006,COMP-011,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-003""]","[""ACT-006""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-CURRENT-COMP-003,USR-004,CURRENT,POS-007,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-004""]","[""ACT-007""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-CURRENT-COMP-009,USR-004,CURRENT,POS-007,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-004""]","[""ACT-007""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-CURRENT-COMP-012,USR-004,CURRENT,POS-007,COMP-012,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-004""]","[""ACT-007""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-003,USR-004,TARGET,POS-008,COMP-003,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-004"", ""ROLE-008""]","[""ACT-007"", ""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-009,USR-004,TARGET,POS-008,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-004"", ""ROLE-008""]","[""ACT-007"", ""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-012,USR-004,TARGET,POS-008,COMP-012,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-004""]","[""ACT-007""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-014,USR-004,TARGET,POS-008,COMP-014,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-016,USR-004,TARGET,POS-008,COMP-016,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-017,USR-004,TARGET,POS-008,COMP-017,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-004-TARGET-COMP-018,USR-004,TARGET,POS-008,COMP-018,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-CURRENT-COMP-005,USR-005,CURRENT,POS-011,COMP-005,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-CURRENT-COMP-011,USR-005,CURRENT,POS-011,COMP-011,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-009""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-CURRENT-COMP-013,USR-005,CURRENT,POS-011,COMP-013,4,2,2,2,HIGH,HIGH,VERIFIED_DESTINATION_DEMO_MAPPING,"[""ROLE-006""]","[""ACT-009"", ""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-CURRENT-COMP-014,USR-005,CURRENT,POS-011,COMP-014,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-006""]","[""ACT-009""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-CURRENT-COMP-015,USR-005,CURRENT,POS-011,COMP-015,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-006""]","[""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-003,USR-005,TARGET,POS-012,COMP-003,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-005,USR-005,TARGET,POS-012,COMP-005,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-009,USR-005,TARGET,POS-012,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-011,USR-005,TARGET,POS-012,COMP-011,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-009""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-013,USR-005,TARGET,POS-012,COMP-013,4,2,2,2,HIGH,HIGH,VERIFIED_DESTINATION_DEMO_MAPPING,"[""ROLE-006""]","[""ACT-009"", ""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-014,USR-005,TARGET,POS-012,COMP-014,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-006"", ""ROLE-008""]","[""ACT-009"", ""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-015,USR-005,TARGET,POS-012,COMP-015,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-006""]","[""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-016,USR-005,TARGET,POS-012,COMP-016,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-017,USR-005,TARGET,POS-012,COMP-017,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-005-TARGET-COMP-018,USR-005,TARGET,POS-012,COMP-018,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-CURRENT-COMP-009,USR-006,CURRENT,POS-009,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-CURRENT-COMP-011,USR-006,CURRENT,POS-009,COMP-011,3,,,,INSUFFICIENT_EVIDENCE,DIAGNOSTIC_REQUIRED,ASSESSMENT_REQUIRED,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-CURRENT-COMP-SAMPLING,USR-006,CURRENT,POS-009,COMP-SAMPLING,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-TARGET-COMP-009,USR-006,TARGET,POS-010,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-TARGET-COMP-011,USR-006,TARGET,POS-010,COMP-011,3,,,,INSUFFICIENT_EVIDENCE,DIAGNOSTIC_REQUIRED,ASSESSMENT_REQUIRED,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-006-TARGET-COMP-SAMPLING,USR-006,TARGET,POS-010,COMP-SAMPLING,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-005""]","[""ACT-008""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-002,USR-007,CURRENT,POS-002,COMP-002,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-001"", ""ACT-002"", ""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-003,USR-007,CURRENT,POS-002,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-001""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-004,USR-007,CURRENT,POS-002,COMP-004,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-002""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-005,USR-007,CURRENT,POS-002,COMP-005,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001"", ""ROLE-007""]","[""ACT-002"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-006,USR-007,CURRENT,POS-002,COMP-006,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-007,USR-007,CURRENT,POS-002,COMP-007,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-016,USR-007,CURRENT,POS-002,COMP-016,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-007""]","[""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-017,USR-007,CURRENT,POS-002,COMP-017,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-007""]","[""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-CURRENT-COMP-SAMPLING,USR-007,CURRENT,POS-002,COMP-SAMPLING,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001"", ""ROLE-007""]","[""ACT-001"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-002,USR-007,TARGET,POS-013,COMP-002,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-001"", ""ACT-002"", ""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-003,USR-007,TARGET,POS-013,COMP-003,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-001"", ""ROLE-008""]","[""ACT-001"", ""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-004,USR-007,TARGET,POS-013,COMP-004,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-002""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-005,USR-007,TARGET,POS-013,COMP-005,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001"", ""ROLE-007""]","[""ACT-002"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-006,USR-007,TARGET,POS-013,COMP-006,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-007,USR-007,TARGET,POS-013,COMP-007,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-009,USR-007,TARGET,POS-013,COMP-009,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-014,USR-007,TARGET,POS-013,COMP-014,4,2,2,2,HIGH,HIGH,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-016,USR-007,TARGET,POS-013,COMP-016,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-007"", ""ROLE-008""]","[""ACT-011"", ""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-017,USR-007,TARGET,POS-013,COMP-017,4,3,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-007"", ""ROLE-008""]","[""ACT-011"", ""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-018,USR-007,TARGET,POS-013,COMP-018,4,2,2,2,HIGH,HIGH,NO_VERIFIED_COURSE,"[""ROLE-008""]","[""ACT-012""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-007-TARGET-COMP-SAMPLING,USR-007,TARGET,POS-013,COMP-SAMPLING,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001"", ""ROLE-007""]","[""ACT-001"", ""ACT-011""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-003,USR-008,CURRENT,POS-012,COMP-003,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-005,USR-008,CURRENT,POS-012,COMP-005,3,4,-1,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-009,USR-008,CURRENT,POS-012,COMP-009,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-008""]","[""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-011,USR-008,CURRENT,POS-012,COMP-011,3,4,-1,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-009""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-013,USR-008,CURRENT,POS-012,COMP-013,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006""]","[""ACT-009"", ""ACT-010""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-008-CURRENT-COMP-014,USR-008,CURRENT,POS-012,COMP-014,4,4,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-006"", ""ROLE-008""]","[""ACT-009"", ""ACT-013""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
