position_id,mdo_id,division_id,name,description,career_band,status,source_id,provenance,source_type,created_at,updated_at
POS-016,MDO-001,DIV-002,Statistical Capability Lead: Labour Statistics Analysis,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-017,MDO-001,DIV-001,Statistical Officer: Agricultural Statistics Analysis,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-018,MDO-001,DIV-001,Statistical Capability Lead: Agricultural Statistics Analysis,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-019,MDO-001,DIV-006,Statistical Officer: SDG and Statistical Quality Assurance,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-020,MDO-001,DIV-006,Statistical Capability Lead: SDG and Statistical Quality Assurance,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-021,MDO-001,DIV-006,Statistical Officer: Reproducible Statistical Programming,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-022,MDO-001,DIV-006,Statistical Capability Lead: Reproducible Statistical Programming,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-023,MDO-001,DIV-002,Statistical Officer: Survey Design and Metadata Standards,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-024,MDO-001,DIV-002,Statistical Capability Lead: Survey Design and Metadata Standards,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-025,MDO-001,DIV-006,Statistical Officer: Cloud Statistical Data Platforms,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-026,MDO-001,DIV-006,Statistical Capability Lead: Cloud Statistical Data Platforms,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-027,MDO-001,DIV-006,Statistical Officer: Cybersecurity for Statistical Services,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
POS-028,MDO-001,DIV-006,Statistical Capability Lead: Cybersecurity for Statistical Services,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,2,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
