competency_id,label,type,area,description,source_id,provenance,source_type,created_at,updated_at
COMP-018,Strategic Thinking,BEHAVIOURAL,Strategy,Set priorities and justify capability investments using evidence.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-019,Labour Statistics,DOMAIN,Labour statistics,"Calculate weighted labour-force participation, worker-population and unemployment rates with documented denominators. Distinct project competency for Labour Statistics; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-020,Agricultural Statistics,DOMAIN,Agricultural statistics,Compile and reconcile weighted crop estimates with uncertainty notes. Distinct project competency for Agricultural Statistics; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-021,SDG Indicators,DOMAIN,SDG monitoring,"Produce a disaggregated indicator table with source, reference period and comparability notes. Distinct project competency for SDG Indicators; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-022,Data Quality Frameworks,DOMAIN,Statistical quality,"Prepare a reproducible quality report with checks, exceptions and corrective actions. Distinct project competency for Data Quality Frameworks; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-023,Survey Design,DOMAIN,Survey methodology,Design and pilot a questionnaire and document measurement and nonresponse risks. Distinct project competency for Survey Design; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-024,Metadata Standards,DOMAIN,Metadata interoperability,Produce and validate a versioned statistical metadata package and crosswalk. Distinct project competency for Metadata Standards; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-025,Python,FUNCTIONAL,Statistical programming,"Build a repeatable data pipeline with functions, tests and documented dependencies. Distinct project competency for Python; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026,R,FUNCTIONAL,Statistical programming,Produce reproducible weighted analysis with diagnostic checks and session metadata. Distinct project competency for R; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027,SQL,FUNCTIONAL,Statistical data systems,Build tested multi-table queries that avoid duplicate amplification and handle NULL correctly. Distinct project competency for SQL; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028,Data Visualization,FUNCTIONAL,Statistical communication,"Build an accessible visual narrative with uncertainty, units and source notes. Distinct project competency for Data Visualization; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029,AI/ML,FUNCTIONAL,Statistical machine learning,"Build a leakage-controlled evaluation and document metrics, bias and limitations. Distinct project competency for AI/ML; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030,Cloud Computing,FUNCTIONAL,Data platforms,Design a logged reproducible data workload with backup and cost controls. Distinct project competency for Cloud Computing; not an official MoSPI definition.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031,APIs,FUNCTIONAL,Interoperability,"Implement contract-tested pagination, input validation and idempotent write handling. Distinct project competency for APIs; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032,Cybersecurity,FUNCTIONAL,Digital Governance,"Assess a local-service threat model and validate access, logging and patch controls. Distinct project competency for Cybersecurity; not an official MoSPI definition.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
