role_id,competency_id,required_level,priority,contributing_activity_ids,max_level_activity_ids,aggregation_rule,source_id,provenance,source_type,created_at,updated_at
ROLE-003,COMP-011,3,2,"[""ACT-006""]","[""ACT-006""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-004,COMP-012,4,2,"[""ACT-007""]","[""ACT-007""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-004,COMP-009,4,2,"[""ACT-007""]","[""ACT-007""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-004,COMP-003,3,2,"[""ACT-007""]","[""ACT-007""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-005,COMP-SAMPLING,4,2,"[""ACT-008""]","[""ACT-008""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-005,COMP-011,3,2,"[""ACT-008""]","[""ACT-008""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-005,COMP-009,4,2,"[""ACT-008""]","[""ACT-008""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-006,COMP-011,3,2,"[""ACT-009""]","[""ACT-009""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-006,COMP-013,4,2,"[""ACT-009"", ""ACT-010""]","[""ACT-010""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-006,COMP-014,4,2,"[""ACT-009""]","[""ACT-009""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-006,COMP-015,4,2,"[""ACT-010""]","[""ACT-010""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-006,COMP-005,3,2,"[""ACT-010""]","[""ACT-010""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-007,COMP-SAMPLING,4,2,"[""ACT-011""]","[""ACT-011""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-007,COMP-005,4,2,"[""ACT-011""]","[""ACT-011""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-007,COMP-016,3,2,"[""ACT-011""]","[""ACT-011""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-007,COMP-017,3,2,"[""ACT-011""]","[""ACT-011""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-016,4,2,"[""ACT-012""]","[""ACT-012""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-017,4,2,"[""ACT-012""]","[""ACT-012""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-018,4,2,"[""ACT-012""]","[""ACT-012""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-009,4,2,"[""ACT-013""]","[""ACT-013""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-003,4,2,"[""ACT-013""]","[""ACT-013""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-008,COMP-014,4,2,"[""ACT-013""]","[""ACT-013""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-009,COMP-005,3,2,"[""ACT-016""]","[""ACT-016""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-009,COMP-009,3,2,"[""ACT-015""]","[""ACT-015""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-009,COMP-019,4,3,"[""ACT-014"", ""ACT-015""]","[""ACT-014"", ""ACT-015""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-009,COMP-022,3,2,"[""ACT-015""]","[""ACT-015""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-009,COMP-023,3,2,"[""ACT-014""]","[""ACT-014""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-009,COMP-024,3,2,"[""ACT-016""]","[""ACT-016""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-004,3,2,"[""ACT-017""]","[""ACT-017""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-005,3,2,"[""ACT-019""]","[""ACT-019""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-020,4,3,"[""ACT-017"", ""ACT-019""]","[""ACT-017"", ""ACT-019""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-022,3,2,"[""ACT-017""]","[""ACT-017""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-023,3,2,"[""ACT-018""]","[""ACT-018""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-028,3,2,"[""ACT-019""]","[""ACT-019""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-010,COMP-SAMPLING,3,2,"[""ACT-018""]","[""ACT-018""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-009,3,2,"[""ACT-020""]","[""ACT-020""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-013,3,2,"[""ACT-021""]","[""ACT-021""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-015,3,2,"[""ACT-022""]","[""ACT-022""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-021,4,3,"[""ACT-020""]","[""ACT-020""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-022,4,3,"[""ACT-021""]","[""ACT-021""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-024,4,3,"[""ACT-022""]","[""ACT-022""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-011,COMP-028,3,2,"[""ACT-022""]","[""ACT-022""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-005,3,2,"[""ACT-025""]","[""ACT-025""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-009,3,2,"[""ACT-024""]","[""ACT-024""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-011,4,3,"[""ACT-023""]","[""ACT-023""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-014,3,2,"[""ACT-024""]","[""ACT-024""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-025,4,3,"[""ACT-023""]","[""ACT-023""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-026,3,2,"[""ACT-023""]","[""ACT-023""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-027,4,3,"[""ACT-023""]","[""ACT-023""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-028,4,3,"[""ACT-025""]","[""ACT-025""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-012,COMP-029,3,2,"[""ACT-024""]","[""ACT-024""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-004,3,2,"[""ACT-026""]","[""ACT-026""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-006,3,2,"[""ACT-027""]","[""ACT-027""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-011,3,2,"[""ACT-028""]","[""ACT-028""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-015,3,2,"[""ACT-028""]","[""ACT-028""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-022,3,2,"[""ACT-027""]","[""ACT-027""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-023,4,3,"[""ACT-026""]","[""ACT-026""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-024,4,3,"[""ACT-028""]","[""ACT-028""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-013,COMP-SAMPLING,4,3,"[""ACT-026""]","[""ACT-026""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-013,3,2,"[""ACT-029""]","[""ACT-029""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-024,3,2,"[""ACT-031""]","[""ACT-031""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-025,3,2,"[""ACT-031""]","[""ACT-031""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-027,3,2,"[""ACT-030""]","[""ACT-030""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-030,4,3,"[""ACT-029"", ""ACT-031""]","[""ACT-029"", ""ACT-031""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-031,4,3,"[""ACT-030""]","[""ACT-030""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-014,COMP-032,3,2,"[""ACT-029""]","[""ACT-029""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-005,3,2,"[""ACT-034""]","[""ACT-034""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-013,3,2,"[""ACT-034""]","[""ACT-034""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-014,3,2,"[""ACT-032""]","[""ACT-032""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-030,3,2,"[""ACT-034""]","[""ACT-034""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-031,3,2,"[""ACT-033""]","[""ACT-033""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ROLE-015,COMP-032,3,2,"[""ACT-032"", ""ACT-033""]","[""ACT-032"", ""ACT-033""]",MAX_ACTIVITY_REQUIREMENT,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
